Northern Cape,Pixley Ka Seme [Victoria West],Periodical Court,Loxton,,,No,Yes (Sessions Only),,,053 621 0007,053 621 0866,"Private Bag X316, Victoria Kerk Street, Loxton ‐31.47715; 22.3501"
"",,,,,,,,,,,,"West, 7070"
Free State,,Periodical Court,Luckhoff,,,No,No,,,051 723 0002,051 723 0103,"Private Bag X8, Fauresmith cnr ‐ Voortrekker and Fourie E 24.78775; S ‐29.75082"
"",,,,,,,,,,,,9978 Steet
Limpopo,Ba‐Phalaborwa [Lulekani],Magistrate Court,Lulekani,,,Yes,Yes,,,015 783 0151/2,015 783 0620,"Private Bag X12005, Chris Hani Street, Lulekani ‐23.86722; 31.08087"
"",,,,,,,,,,,,Lulekani 1392 1392
Eastern Cape,,Magistrate Court,Lusikisiki,,,Yes,Yes,,,039 253 1512,039 253 1125,"Private Bag x 1004, c/o Stanford & Main Street, E 29.57209; S ‐31.3646"
"",,,,,,,,,,,,Lusikisiki 4820 Lusikisiki 4820
Western Cape,,Periodical Court,Lutzville,,,No,No,,,027 213 2010,027 213 4823,"Private Bag X3, Vredendal Matzikama Street, Lutzville E 18.3448; S ‐31.55888"
"",,,,,,,,,,,,8160
Mpumalanga,Thaba Chweu [Mashishing],Periodical Court,Maartenshoop,,Nauwpoort,No,No,,,013 235,013 235 3411,"Private Bag X1085, n/a ‐24.99109; 30.23391"
"",,,,,,,,,,2325/6/7,,Mashishing 1120
Eastern Cape,,Magistrate Court,Maclear,,,Yes,Yes,,,045 932 1012,045 932 1429,"Private Bag x 210, Maclear Royal Road , Maclear 5480 E 28.34554; S ‐31.06629"
"",,,,,,,,,,,,5480
KwaZulu‐Natal,,Detached Court,Madadeni,,,Yes,Yes Yes,,,034 329 7500,034 314 1102,"Private Bag X5010, 2583 Section 2, Next to E 30.02838; S ‐27.76073"
"",,,,,,,,,,,,"Madadeni 2951 Madadeni SAPS, Madadeni"
"",,,,,,,,,,,,2951
North West,Moses Kotane[Madikwe],Detached Court,Madikwe,,,Yes,Yes,,,014 553,014 553 2733,"Private Bag X1004, 2 Mogakari Street, Madikwe ‐25.35227; 26.52444"
"",,,,,,,,,,2033/2538,,Madikwe 2840 2840
Gauteng,Mogale City [Krugersdorp],Periodical Court,Magaliesburg,,,No,No,,,011 660 3711‐3,011 665 5013,"Private Bag X2009, 5 Koster Road, Magaliesburg ‐25.99804; 27.53917"
"",,,,,,,,,,,,Krugersdorp 1740
Limpopo,Lepele‐Nkumpi [Lebowakgomo],Branch Court,Magatle,,,No,Yes (Sessions Only),,,015 483 0302/3,015 483 0302,"Private Bag X2493, Area 7 Magatle, Main Road ‐24.45589; 29.41136"
"",,,,,,,,,,,Tel/Fax,Mokopane 0600 Next to SAPS Magatle
KwaZulu‐Natal,,Periodical Court,Magudu,,,No,No,,,034 414 1011,034 414 1303/ 907,"P O Box 787, Pongola 3170 Main Street, Magudu 3170 E 31.64893; S ‐27.53354"
"",,,,,,,,,,,5901,
Mpumalanga,Mkhondo [Piet Retief [eMkhondo]],Periodical Court,Mahamba,,,No,No,,,017 826 2085,017 826 2085,"Private Bag X5, Piet Retief Mahamba Border Post, ‐27.10485; 31.06845"
"",,,,,,,,,,,Tel/Fax,2380 Mahamba
KwaZulu‐Natal,,Magistrate Court,Mahlabatini,,,Yes,Yes,,,035 873 0101/2,035 873 0108,"Private Bag X10, Mashona Main Road, E 31.46825; S ‐28.235"
"",,,,,,,,,,,,Mahlabatini 3865 Mahlabatini 3865
Limpopo,Mogalakwena [Mahwelereng],Magistrate Court,Mahwelereng,,Morekong,Yes,Yes Yes,,Yes,015 483 0302/3,015 483 0302,"Private Bag X2493, Hospital Street, Mokopane ‐24.15216; 28.98316"
"",,,,,,,,,,,Tel/Fax,Mokopane 0600 0600
North West,Mafikeng [Mmabatho],Periodical Court,Makgobistad,,,No,No,,,018 387 8000,018 384 3594,"Private Bag X2045, Next to the Police Station, ‐25.75749; 25.10491"
"",,,,,,,,,,,,Mmabatho 2735 Makgobistadt
Free State,,Detached Court,Makwane,,Makoane,No,Yes,,,058 710 1027 /,058 710 7123,"Private Bag X813, Next to Makwane Police E 28.88083; S ‐28.53359"
"",,,,,,,,,,1446,,"Witsieshoek 9870 Station, Witsieshoek 9870"
Mpumalanga,Nkomazi [Tonga],Periodical Court,Malelane,,Malelane,No,No,,,013 712 2104/,013 712 5122,"Private Bag X1614, 57 Imbane Circle, Malelane ‐25.49439; 31.51089"
"",,,,,,,,,,3284/ 3267,,Barberton 1300
Limpopo,Malamulele [Malamulele],Magistrate Court,Malamulele,,Boltman 211 LT,Yes,Yes,,,015 851,015 851 1357,"Private Bag X9180, Police Hospital Road, ‐23.00506; 30.6887"
"",,,,,,,,,,0022/3/4,,Malamulele 0982 Malamulele 0982
Limpopo,Lepele‐Nkumpi [Lebowakgomo],Periodical Court,Malipsdrift,,,No,Yes (Sessions Only),,,015 633 7160/,015 633 7177/8,"Private Bag X05, Next to Malipsdrift SAPS ‐24.17487; 30.00271"
"",,,,,,,,,,1/2/3/4,,Chuenespoort 0745
Western Cape,,Magistrate Court,Malmesbury,,,Yes,Yes,,,022 482 1121/,022 482 4307,"Private Bag X01, 1 Piet Retief Street, E 18.72991; S ‐33.4604"
"",,,,,,,,,,1166/ 1141,,Malmesbury 7299 Malmesbury 7300
Eastern Cape,,Magistrate Court,Maluti,,,Yes,Yes,,,039 256 0101,039 256 0616,"Private Bag x 102, Maluti 138 Police Station Road, Maluti E 28.78665; S ‐30.26287"
"",,,,,,,,,,,,4740 4740
Gauteng,Tshwane Central [Mamelodi],Detached Court,Mamelodi,,,No,Yes,,,012 805,012 805 1878,"Private Bag X1, Mamelodi 20 Shabangu Ave, Pretoria, ‐25.71432; 28.34785"
"",,,,,,,,,,4001/8282,,West 0101 0122
North West,Moses Kotane[Mankwe],Magistrate Court,Mankwe,Mogwase,,Yes,Yes Yes,,Yes,014 555 5800,014 555 5804,"Private Bag X1002, 934 Unit 1  Shopping Complex , ‐25.27177; 27.2379"
"",,,,,,,,,,,,Mogwase 0314 Mogwase 0314
Limpopo,Polokwane [Mankweng],Magistrate Court,Mankweng,,Sovenga,Yes,Yes Yes,,,015 286 2200,015 267 1063,"Private Bag X1114, Sovenga 1057 Unit C, Mankweng, ‐23.88197; 29.70164"
"",,,,,,,,,,,,0727 Sovenga 0727
Limpopo,Bela‐Bela [Bela‐Bela],Periodical Court,Mantsole Traffic Control Centre,,Mantsolo,No,No,,,014 736 2231,014 736,"Private Bag X1617, Bela‐ N1 Mantsole Taffic Control, ‐25.13319; 28.30846"
"",,,,,,,,,,,5210/0865075648,Bela 0480 Pienaarsrivier
KwaZulu‐Natal,,Magistrate Court,Mapumulo,,,Yes,Yes,,,032 481 2001,032 481 2044,"Private Bag X9201, R47 Main Road, Mapumulo E 31.06571; S ‐29.1585"
"",,,,,,,,,,,,Mapumulo 4470 4470
Limpopo,Makhado [Tshilwavhusiku],Periodical Court,Mara,,,No,No,,,015 516,015 516 0044,"Private Bag X2403, Louis SAPS  Mara ‐23.09121; 29.39328"
Region,MagDistrict,CourtType,Office,PreviouslyKnownAs,AlsoKnownAs EQC,,SCC SOC,,MDS,Tel Fax,Postal,Physical GPS [S;E]
Mpumalanga,Dr JS Moroka [Mbibana],Periodical Court,Marapyane,,No,,No,,,012 717 2179/ 012 717 5366,"Private Bag X1030, Temba","Neu‐Halle Section, Marapyane"
"",,,,,,,,,,3364/ 3527/,0407,‐25.01279; 28.80465
"",,,,,,,,,,3528,,
Limpopo,Elias Motsoaledi [Groblersdal],Periodical Court,Marble Hall,,No,,No,,,013 262 2033/34 013 262 3000,"Private Bag X617,","147 Marble East, Next to SAPS ‐24.96947; 29.2972"
"",,,,,,,,,,,Groblersdal 0470,Marble Hall
North West,Rustenburg  [Rustenburg],Periodical Court,Marikana,,No,,No,,,"014 597 9400 014 592 9853/0191 Private Bag X82065,",,Marikana Police Station ‐25.70469; 27.48588
"",,,,,,,,,,,Rustenburg 0300,
Free State,,Magistrate Court,Marquard,,Yes,,Yes,,,051 991 0751 051 991 1202,"Private Bag X1, Marquard","6 Church Street, Marquard E 27.42927; S ‐28.66441"
"",,,,,,,,,,,9610,9610
Northern Cape,Pixley Ka Seme [Prieska],Periodical Court,Marydale,,No,,Yes (Sessions Only),,,053 353 1105 053 353 2092,"Private Bag X1, Prieska,",12 Cnr Connan & Van Wyk ‐29.40617; 22.10617
"",,,,,,,,,,,8940,"Street, Marydale"
Mpumalanga,Thaba Chweu [Mashishing],Magistrate Court,Mashishing,Lydenburg,Yes,,Yes,,,013 235 013 235 3411,"Private Bag X1085,",c/o Voortrekker & De Clercq
"",,,,,,,,,,2325/6/7,Mashishing 1120,"Street, Mashishing 1120 ‐25.09255; 30.44766"
Limpopo,Musina [Musina],Periodical Court,Masisi,,No,,No,,,015 967 015 967 0085,"Private Bag X1153, Mutale",Next to SAPS Masisi ‐22.4217; 30.86348
"",,,,,,,,,,0045/0038/,0956,
"",,,,,,,,,,0077,,
Mpumalanga,Mbombela [Nsikazi],Branch Court,Masoyi,,Masoye/ Masoyi SettlemNo,,No Yes,,,013 796 0261 013 796 0881/,"Private Bag X1001,",Next to SAPS Masoyi ‐25.16311; 31.11477
"",,,,,,,,,,0865077652,Kabokweni 1245,
KwaZulu‐Natal,,Branch Court,Matatiele,,No,,Yes (Sessions Only),,,039 737 3127 039 737 3026,"Private Bag X835, Matatiele 101 Main Road, Matatiele",E 28.80729; S ‐30.34352
"",,,,,,,,,,,4730,4730
Mpumalanga,Mbombela [Nsikazi],Periodical Court,Matsulu,,No,,No,,,013 796 0261 013 796 0881/,"Private Bag X1001,","Cnr Madiba & Khodesa Street, ‐25.51831; 31.35247"
"",,,,,,,,,,0865077652,Kabokweni 1245,Matsulu
Mpumalanga,Chief Albert Luthuli [Elukwatini],Branch Court,Mayflower,,No,,No,,,017 883 0802/ 017 883 1283,"Private Bag X1002,",At Home Affaris Building ‐26.29966; 30.77571
"",,,,,,,,,,0803/0798,Elukwatini 1192,
KwaZulu‐Natal,,Periodical Court,Mbazwana,,No,,No,,,035 595 1002 035 595 1165,"Private Bag X612, Ubombo",n/a E 32.5989; S ‐27.48021
"",,,,,,,,,,,3970,
Mpumalanga,Mbombela [Mbombela],Magistrate Court,Mbombela,Nelspruit,Yes,,Yes,,Yes,"013 753 6200/99 013 755 4077/1629 Private Bag X11207,",,"22  Bester Street, Nelspruit ‐25.46947; 30.97802"
"",,,,,,,,,,,Nelspruit 1200,1200
Western Cape,,Periodical Court,McGregor,,,,,,,See Robertson,,
Eastern Cape,,Magistrate Court,Mdantsane,,Yes,,Yes,,,043‐7085000 043 761 6651,"Private Bag x 006,","Mazawule N1, Mdantsane E 27.77629; S ‐32.94659"
Gauteng,Johannesburg Central [Soweto],Branch Court,Meadowlands,,,No,Yes (Sessions Only),,011 536 0555,011 536 2382,"Private Bag X1, Heckroodt Cir, Meadowlands",‐26.22093; 27.89793
"",,,,,,,,,,,"Johannesburg 2000 East, 1852",
Limpopo,Tubatse [Burgersfort],Branch Court,Mecklenburg,,,No,No,,013 216 1091,013 216 1730,"Private Bag X1013, R37, SAPS Moroke",‐24.38702; 30.07393
"",,,,,,,,,,,Burgersfort 1150,
KwaZulu‐Natal,,Magistrate Court,Melmoth,,,Yes,Yes,,035 450,035 450 3002,"Private Bag X835, Melmoth 25 Reinhold Street, Melmoth",E 31.40119; S ‐28.59116
"",,,,,,,,,2094/2007,,3835 3835,
Free State,,Periodical Court,Memel,,,No,Yes,,058 924 0001,058 924 0266,"Private Bag X01, Memel 6 Knipe Street, Memel 2970",E 29.56714; S ‐27.68146
"",,,,,,,,,,,2970,
Western Cape,,Periodical Court,Merweville,,,No,No,,023 415 1787,023 414 4658,"Private Bag X545, Beaufort Voortrekker Street, Merweville E 21.51898; S ‐32.66249",
"",,,,,,,,,,,West 6970,
Gauteng,Midvaal [Midvaal],Magistrate Court,Meyerton,,,No,Yes,,016 362 0403,016 362 3514,"Private Bag X1004, Cnr Fenton & Kruger Street,",‐26.555253; 28.014649
"",,,,,,,,,,,Meyerton 1960 Meyerton 1960,
Eastern Cape,,Magistrate Court,Middelburg [EC],,,Yes,Yes,,049 842 1555,049 842 3423,"Private Bag x 503, 40 Loop Street, Middelburg",E 25.00437; S ‐31.49658
"",,,,,,,,,,,Middelburg 5900 5900,
Mpumalanga,Steve Tshwete [Middelburg],Magistrate Court,Middelburg [MP],,,Yes,Yes,Yes,013 283 7500,013 282 5377,"Private Bag X1804, 16 Dr Beyers Naude Street,",‐25.76177; 29.45718
"",,,,,,,,,,,Middelburg 1050 Middelburg 1050,
Eastern Cape,,Magistrate Court,Middledrift,,,Yes,Yes,,040 657 3005,040 657 3034,"Private Bag x 03, Middledrift Cnr Mangconde & Mkwayi",E 26.98973; S ‐32.81943
"",,,,,,,,,,,"5685 Streets, Middledrift 5685",
KwaZulu‐Natal,,Periodical Court,Mid‐Illovo,,,No,No,,033 212,033 212 2790,"Private Bag X1006, Main Road, Mid‐Illovo",E 30.50502; S ‐29.97061
"",,,,,,,,,2114/2115,,Richmond 3780,
Gauteng,Johannesburg North [Randburg],Branch Court,Midrand,,,No,No,,011 805 1906,011 805 5044,"Private Bag X3005, Cnr old Pretoria Road & North ‐25.99721; 28.12795",
"",,,,,,,,,,,"Randburg 2125 Street, Midrand",
Western Cape,,Magistrate Court,Mitchells Plain,,,Yes,Yes Yes,,021 370 4200/,021 391 3063/ 392,"Private Bag X1, Mitchells 1st Avenue, East Ridge,",E 18.52404; S ‐34.0482
"",,,,,,,,,4208,5075,Plain 7789 Mitchells Plain 7785,
Mpumalanga,Bushbuckridge [Bushbuckridge],Branch Court,Mkhuhlu,,,No,Yes (Sessions Only),,013 773,013 773 0430,"Private Bag X1312, Calcutta Police Station,",‐24.98733; 31.24365
"",,,,,,,,,0431/0335,,Thulamahashe 1365 Mkhuhlu,
North West,Mafikeng [Mmabatho],Magistrate Court,Mmabatho,,Mafikeng,Yes,Yes Yes,Yes,018 387 8000,018 384 3594,"Private Bag X2045, University Drive,  Mmabatho",‐25.837015; 25.608403
"",,,,,,,,,,,Mmabatho 2735 2735,
Northern Cape,Frances Baard [Kimberley],Periodical Court,Modder River,,,No,No,,053 839 9100,053 833 2576/ 832,"Private Bag X5014, 3 Stasie Street, Modderrivier",‐29.03226; 24.62946
"",,,,,,,,,,7404,"Kimberley, 8300",
Limpopo,Modimolle [Modimolle],Magistrate Court,Modimolle,Nylstroom,,Yes,Yes,Yes,014 717 5316,014 717 5369,"Private Bag X1011, Cnr Van Emmenis & Dr J S",‐24.70482; 28.40787
"",,,,,,,,,,,"Modimolle 0510 Moroka Street, Modimolle",
"",,,,,,,,,,,0510,
Limpopo,Letaba [Ga‐Kgapane],Periodical Court,Modjadjiskloof,Duiwelskloof,,No,No,,015 307 3770,015 307 4163,"Private Bag X4010, Tzaneen Botha Street, Modjadjiskloof",‐23.69583; 30.14495
"",,,,,,,,,,,0850,
Limpopo,Molemole [Morebeng],Branch Court,Mogwadi,Dendron,,No,No,,015 294 6000,015 295 3286,"Private Bag X9320, SAPS Mogwadi, 182 Keerom",‐23.36444; 29.32263
"",,,,,,,,,,,"Polokwane 0700 Str, Dendron",
Region,MagDistrict,CourtType,Office,PreviouslyKnownAs,AlsoKnownAs,EQC,SCC SOC,,MDS,Tel Fax,,Postal Physical GPS [S;E]
Limpopo,Mogalakwena [Mokopane],Magistrate Court,Mokopane,Potgietersrus,,Yes,Yes,,,015 491 2158 015 491 8111,,"Private Bag X2499, 70 Hooge Street, Mokopane ‐24.18494; 29.0152"
"",,,,,,,,,,,,Mokopane 0600 0600
Eastern Cape,,Magistrate Court,Molteno,,,Yes,Yes,,,045 967 0026 045 967 0069,,"Private Bag x 16, Molteno c/o Robinson & Smith Street, E 26.36311; S ‐31.3973"
"",,,,,,,,,,,,5500 Molteno 5500
Western Cape,,Magistrate Court,Montagu,,,Yes,Yes,,,023 614 1105 023 614 3974,,"Private Bag X5, Montagu 39 Piet Retief Street, Montagu E 20.12327; S ‐33.78516"
"",,,,,,,,,,,,6720 6720
KwaZulu‐Natal,,Magistrate Court,Mooi River,,,Yes,Yes,,,033 263 1468/ 033 263 2761,,"Private Bag X571, Mooi 15 Clogthon Terrace, Mooi E 29.9967; S ‐29.207"
"",,,,,,,,,,2767,,River 3300 River 3300
Limpopo,Letaba [Ga‐Kgapane],Periodical Court,Mooketsi Traffic Control Centre,,,,,,,015 395 7901 015 383 9916,,"P/BAG X 773, Ga‐ Kgapane, Mooketsi Weigh Station, Along ‐23.59492; 30.09923"
"",,,,,,,,,,,,0838 the R81
Limpopo,Mookgopong [Mookgopong],Magistrate Court,Mookgophong,Naboomspruit,,No,Yes,,,014 743 2217/8 014 743 0367,,"Private Bag X308, 47 5th Street, Mookgophong ‐24.51813; 28.71221"
"",,,,,,,,,,,,Mookgophong 0560 0560
Western Cape,,Magistrate Court,Moorreesburg,,,Yes,Yes,,,022 433 1084/ 022 433 1488,,"Private Bag X1, 7 Station Street, Moorreesburg E 18.66481; S ‐33.15311"
"",,,,,,,,,,3406,,Moorreesburg 7310 7310
Limpopo,Molemole [Morebeng],Magistrate Court,Morebeng,Soekmekaar,Sekgosese/ Uitspan,Yes,Yes Yes,,,015 397 7200 015 874 0537,,"Private Bag X1307, R36, Uitspan Farm Doringboom ‐23.49485; 29.93585"
"",,,,,,,,,,,,"Morebeng 0810 Road, Morebeng  0810"
Mpumalanga,Lekwa [Standerton],Periodical Court,Morgenzon,,,No,Yes (Sessions Only),,,017 793 3013 017 793 3023,,"Private Bag X4, Morgenzon 199 De Jager Street, ‐26.73589; 29.61921"
"",,,,,,,,,,,,2315 Morgenzon 2315
North West,Kagisano Molopo [Ganyesa],Periodical Court,Morokweng,,Morokeng,No,No,,,053 998 3303 053 998 3302,,"Private Bag X508, Ganyesa Morokweng Heuningvlei Road, ‐26.13649; 23.77673"
"",,,,,,,,,,,,8613 Morokweng Village
Western Cape,,Magistrate Court,Mossel Bay,,,Yes,Yes,,,044 693 3113/ 044 693 2891,,"Private Bag X11, Mossel Louis Fourie Street, Mossel Bay E 22.11853; S ‐34.18425"
"",,,,,,,,,,3140/ 3056,,Bay 6500 6500
Limpopo,Elias Motsoaledi [Groblersdal],Periodical Court,Motetema,,,No,No,,,013 264 8201 015 264 8225/,,"Private Bag X102, Nebo SAPS Motetema ‐25.09605; 29.46726"
"",,,,,,,,,,0865073717,,1059
Eastern Cape,,Detached Court,Motherwell,,,Yes,Yes,,,041 403 5600 041 403 5697,,"Private Bag X1, Motherwell, 10 Tynira street, Motherwell E 25.58362; S ‐33.79625"
"",,,,,,,,,,,,"Port Elizabeth, 6211"
North West,Ramotshere Moiloa [Lehurutshe],Periodical Court,Motswedi,,,No,No,,,018 363 5600/1/2018 363 3387,,"Private Bag X2005, Lerato DP Moloto Street, Lerato 2880 ‐26.13649; 23.77673"
"",,,,,,,,,,,,2880
Eastern Cape,,Magistrate Court,Mount Ayliff,,,Yes,Yes,,,039 254 0004 039 254 0003,,"Private Bag x 508, Mount 67 Church Street, Mount Ayliff E 29.36761; S ‐30.80725"
"",,,,,,,,,,,,Ayliff 4735 4735
Eastern Cape,,Magistrate Court,Mount Fletcher,,,Yes,Yes,,,039 257 0022 039 257 0060,,"Private Bag x 1158, Mount Main Street (on R56), Mount E 28.50616; S ‐30.69286"
"",,,,,,,,,,,,Fletcher 5510 Fletcher 5510
Eastern Cape,,Magistrate Court,Mount Frere,,Kwabhaca,Yes,Yes,,,039 255 0251 039 255 0793,,"Private Bag x 9004 , Mount Main Street, Mount Frere 5090 E 28.99232; S ‐30.90108"
"",,,,,,,,,,,,Frere 5090
KwaZulu‐Natal,,Branch Court,Mpumalanga,,Hammarsdale,No,No,,,031 736 031 736 3475,,"Private Bag X1017, 1 Kelly Street, Hammarsdale E 30.65599; S ‐29.79584"
"",,,,,,,,,,3471/2/3,,Hammarsdale 3700 3700
Eastern Cape,,Magistrate Court,Mqanduli,,,Yes,Yes,,,047 573 0002 047 573 0104,,"Private Bag x 530 , 68 Main Street, Mqanduli 5080 E 28.76251; S ‐31.81968"
"",,,,,,,,,,,,Mqanduli 5080
KwaZulu‐Natal,,Magistrate Court,Msinga,,Tugela Ferry,Yes,Yes,,,033 493 0001/ 033 493 0030,,"Private Bag X1, Tugela Ferry Tugela Ferry Village, Main E 30.55508; S ‐28.74837"
"",,,,,,,,,,0005,,"3010 Road, Msinga 3010"
Eastern Cape,,Magistrate Court,Mthatha,Umtata,,Yes,Yes,,,047 531 1705/ 047 531 1704,,"Private Bag x 5008, Umtata Cnr Leeds & Owen Streets, E 28.78766; S ‐31.59055"
"",,,,,,,,,,0538/ 1414,,5099 Umtata 50999
Eastern Cape,,Periodical Cour,Mtontsasa,,,No,Yes (Sessions Only),,,See Lusikisiki,,n/a E 29.7023; S ‐31.20763
KwaZulu‐Natal,,Magistrate Court,Mtubatuba,,,Yes,Yes,,,035 550 0065 035 550 1526,,"Private Bag X001, 55E Old Riverview Road, E 32.18453; S ‐28.42036"
"",,,,,,,,,,,,Mtubatuba 3935 Mtubatuba 3935
KwaZulu‐Natal,,Magistrate Court,Mtunzini,,,Yes,Yes,,,035 340 1415 035 340 1253,,"Private Bag X505, Mtunzini  10 Hely Hutchinson Street, E 31.75679; S ‐28.95224"
"",,,,,,,,,,,,3867 Mtunzini 3867
KwaZulu‐Natal,,Periodical Court,Muden,,,No,No,,,036 354 1621 036 354 1090,,"Private Bag X1, Weenen Retief Street, Weenen 3325"
"",,,,,,,,,,,,3325
Western Cape,,Periodical Court,Muizenberg,,,No,No,,,021 788 9742 021 788 9852,,"Private Bag X4  Talma Road, Muizenberg"
"",,,,,,,,,,,,Simon’sTown 7995
Western Cape,,Magistrate Court,Murraysburg,,,Yes,Yes,,,049 844 0001 049 844 0389,,"Private Bag X1, 14 Church Street, Murraysburg E 23.7626; S ‐31.96287"
"",,,,,,,,,,,,Murraysburg 6995 6995
Limpopo,Musina [Musina],Magistrate Court,Musina,Messina,,Yes,Yes,,Yes,015 534 2146/7 015 534 0241,,"Private Bag X621, Musina 1 Flax Avenue, Musina 0900 ‐22.34408; 30.04502"
"",,,,,,,,,,,,0900
Limpopo,Musina [Musina],Periodical Court,Musina Traffic Control Centre,,,No,No,,,015 534 2146/7 015 534 0241,,"Private Bag X621, Musina Musina Testing Ground, N1 ‐22.339901; 30.04365"
"",,,,,,,,,,,,0900
Limpopo,Mutale [Mutale],Magistrate Court,Mutale,,Tshandama,Yes,Yes,,,015 967 015 967 0085,,"Private Bag X1153, Mutale Next to Mutale Police Station, ‐22.7356; 30.52201"
"",,,,,,,,,,0045/0038/,,0956 Mutale 0956
"",,,,,,,,,,0077,,
Limpopo,Ba‐Phalaborwa [Namakgale],Magistrate Court,Namakgale,,,Yes,Yes,,,015 769 015 769 2561,,"Private Bag X11007, c/o Calvin Ngobeni & Ackson ‐23.93204; 31.02817"
"",,,,,,,,,,1540/1424,,"Namakgale 1391 Malati Street, Namakgale"
"",,,,,,,,,,,,1391
KwaZulu‐Natal,,Branch Court,Ncotshane,,Simdlangentsha,No,No,,,034 316 1020 034 316 1030,,"Private Bag X0002, Pongola B219 Emgazini Str, Pongola E 31.58298; S ‐27.34603"
"",,,,,,,,,,,,3170 3170
KwaZulu‐Natal,,Magistrate Court,Ndwedwe,,,Yes,Yes,,,032 532 1035 / 032 533 4013,,"Private Bag X502, Ndwedwe Ndwe Court House, Main Road, E 30.93638; S ‐29.51556"
"",,,,,,,,,,533 4013 Tel/Fax,,4342 Ndwedwe 4342
Limpopo,Makhuduthamaga [Nebo],Magistrate Court,Nebo,,,Yes,Yes Yes,,,013 264 8201 015 264 8225/,,"Private Bag X102, Nebo Next to Nebo Post Office, Nebo ‐24.90708; 29.76015"
"",,,,,,,,,,0865073717,,1059 1059
Region,MagDistrict CourtType,,Office,PreviouslyKnownAs,AlsoKnownAs,EQC,SCC SOC,,MDS,Tel Fax,Postal Physical,GPS [S;E]
Eastern Cape,Branch Court,,Nerina One Stop Youth Justice,,,No,No,,,See Port,Gumpert Street,E 25.56986; S ‐33.9348
"",,,Centre,,,,,,,Elizabeth,,
Eastern Cape,Detached Court,,New Brighton,,,No,Yes,,,041 454 1122 041 454 7351,"Private Bag x 3928 , New Mati Road, New Brighton, PE,",E 25.58482; S ‐33.90669
"",,,,,,,,,,,Brighton PE 6056 6056,
KwaZulu‐Natal,Magistrate Court,,New Hanover,,,Yes,Yes,,,033 502 0002/3 033 502 0340,"Private Bag X101, New Main Road, New Hanover 3230 E 30.5295; S ‐29.35189",
"",,,,,,,,,,,Hanover 3230,
KwaZulu‐Natal,Magistrate Court,,Newcastle,,,Yes,Yes,,,034 312 034 315 1607,"Private Bag X6654, 37 Murchison Street,",E 29.93178; S ‐27.75562
"",,,,,,,,,,1166/7/8,Newcastle 2940 Newcastle 2940,
Gauteng,Johannesburg Central [Johannesburg]Branch Court,,Newlands,,,No,No,,,011 477 7252 011 477 8250,"Private Bag X1, 186 Main Road, Newlands",‐26.17747; 27.97194
"",,,,,,,,,,,Johannesburg 2000 2092,
KwaZulu‐Natal,Periodical Court,,Newlands West,,,No,No,,,032 439 1711 032 533 9946,"Private Bag X07, Verulam Loop West Str, Newlands West E 30.95591; S ‐29.78147",
"",,,,,,,,,,,4340,
Eastern Cape,Magistrate Court,,Ngcobo,Engcobo,,Yes,Yes,,,047 548 1117 047 548 1024,"Private Bag x 6202, Engcobo High Street, Engcobo 6050",E 27.99888; S ‐31.67577
"",,,,,,,,,,,6050,
Mpumalanga,Mbombela [Mbombela] Periodical Court,,Ngodwana,,,No,No,,,"013 753 6200/99 013 755 4077/1629 Private Bag X11207,","2 Enstra Street, SAPS",‐25.5708; 30.67428
"",,,,,,,,,,,Nelspruit 1200 Ngodwana,
KwaZulu‐Natal,Periodical Court,,Ngome,,,No,No,,,034 907 5015 034 907 5901,"Private Bag X01, Louwsburg Main Road, Nongoma to",E 31.38972; S ‐27.83246
"",,,,,,,,,,,"3150 Vryheid, Ngome",
Eastern Cape,Magistrate Court,,Ngqamakhwe,Nqamakwe,,Yes,Yes,,,047 487 0005 047 487 0172,"Private Bag x 1003, Blythe street , Nqamakwe",E 27.94162; S ‐32.20293
"",,,,,,,,,,,Nqamakwe 4990 4990,
Eastern Cape,Magistrate Court,,Ngqeleni,,,Yes,Yes,,,047 568 0002 047 568 0006,"Private Bag x 110, Ngqeleni 76 King George Street,",E 29.03153; S ‐31.67339
KwaZulu‐Natal,Branch Court,,Ngwelezane,,Enseleni,No,No,,,035 794 2306/ 035 794 2309,"Private Bag X03, Empangeni Ngwelezana Road, Enseleni",E 31.86479; S ‐28.77398
"",,,,,,,,,,2360,Station 3910 3910,
Northern Cape,Pixley Ka Seme [Prieska] Periodical Court,,Niekerkshoop,,,No,No,,,053 343 0007 053 343 0531,"Private Bag X213 , 3 Hoof Street, Niekerkshoop",‐29.32615; 22.83894
"",,,,,,,,,,,Griquatown 8365,
Northern Cape,Namakwa [Calvinia] Periodical Court,,Niewoudtville,,,No,Yes (Sessions Only),,,027 341 1017/ 027 341 1483,"Private Bag X29, Calvinia, 210 Neethling Street,",‐31.37408; 19.11713
"",,,,,,,,,,2920,8190 Nieuwoudtville,
Gauteng,Ekurhuleni East [Nigel] Detached Court,,Nigel,,,Yes,Yes,,,011 814 8261‐3 011 814 5488,"Private Bag X3004, Nigel Cnr 4th Avenue & Church",‐26.42122; 28.47182
"",,,,,,,,,,,"1490 Street, Nigel 1490",
KwaZulu‐Natal,Magistrate Court,,Nkandla,,,Yes,Yes,,,035 833 0028 035 833 0370,"Private Bag X101, Nkandla Lot 208 Ndlangubo Street,",E 31.0878; S ‐28.62081
"",,,,,,,,,,,3855 Nkandla 3855,
