Region,Court Type,Office Name,Equality Court,Small Claims Court,Sexual Offence Court,Mediation Services,telephone,fax,adress,GPS
KwaZulu-Naal,Magisrae Cour,Por Shepsone,Yes,Yes,No,No,039 682 0136,039 682 5017,5 Cour House Road Por Shepsone 4240,E 30.44789; S -30.7346
Easern Cape,Magisrae Cour,Por S Johns,Yes,Yes,No,No,047 564 1120/ 1444,047 564 1106,52 Wesgae Sree Por S Johns 5540,E 29.54936; S -31.62286
Wesern Cape,Branch Cour,Porerville,No,No,No,No,022 931 2410/ 2162,022 931 2120,37 Voorrekker Sree Porerville 6810,E 18.99315; S -33.01163
Norhern Cape,Magisrae Cour,Posmasburg,Yes,Yes,No,No,053 313 1155,053 313 2580,13 Jordaan Sree Posmasburg 8420,-28.33374; 23.06815
Norh Wes,Magisrae Cour,Pochefsroom,Yes,Yes,Yes,Yes,018 294 1600,018 294 0018/5075,Cnr Peer Mokaba & Wolmarans Sree Pochefsroom 2531,-25.646229; 27.213076
Limpopo,Magisrae Cour,Prakiseer,Yes,Yes,No,No,013 216 1091,013 216 1730,Police Saion Sree Prakiseer 1150,-24.58074; 30.32332
Gaueng,Magisrae Cour,Preoria,Yes,Yes,Yes,Yes,012 319 4000,012 328 6546,Cnr Schoeman (Francis Baard) & Schubar (Sophie De Bruyn) Sree Preoria 0001xa0xa0,-25.74825; 28.18449
Gaueng,Magisrae Cour,Preoria Norh,Yes,Yes,Yes,Yes,012 521 1002/ 4,012 565 5804 / 546 3291,335 Emily Hobhouse Sree Preoria Norh 0182,-25.67076; 28.1737
Norhern Cape,Magisrae Cour,Prieska,Yes,Yes,No,No,053 353 1105,053 353 2092,1 Seward Sree Prieska 8940,-29.66815; 22.74982
Wesern Cape,Magisrae Cour,Prince Alber,Yes,Yes,No,No,023 541 1450/ 1831,023 541 1955,26 Kerk Sree Prince Alber 6930,E 22.03121; S -33.22747
KwaZulu-Naal,Periodical Cour,Qudeni,No,No,No,No,035 833 0028,035 833 0370,Qudeni Main Road Ekombe,E 30.89735; S -28.64475
Easern Cape,Magisrae Cour,Queensown,Yes,Yes,No,No,045 838 3801,045 839 2665,76 Robinson Road Queensown 5320,E 26.86999; S -31.89849
Easern Cape,Magisrae Cour,Qumbu,Yes,Yes,No,No,047 553 0008,047 553 1061,95 Main Sree Qumbu 5180,E 28.87128; S -31.16241
Limpopo,Periodical Cour,Ramokgopa,No,No,No,No,See Morebeng,See Morebeng,Ramokgopa,-23.47225; 29.80511
KwaZulu-Naal,Branch Cour,Ramsgae,No,Yes (Sessions Only),No,No,039 314 4165,039 314 9825,c/o Marine Drive & Alfred Road Ramsgae,E 30.35163; S -30.88216
Gaueng,Magisrae Cour,Randburg,Yes,Yes,No,Yes,011 998 5300,011 326 1023,18 Shepherd Avenue Kensingon B Randburg 2125,-26.07748; 27.99628
Gaueng,Magisrae Cour,Randfonein,Yes,Yes,No,No,011 412 1195,011 412 1200/4576,Cnr Pollock & Suherland Sree Randfonein 1760,-26.181562; 27.699757
Limpopo,Periodical Cour,Rankin’s Pass,No,No,No,No,014 717 5316,014 717 5369,Near Rankin’s Pass SAPS,-24.52891; 27.9138
Wesern Cape,Periodical Cour,Rawsonville,No,No,No,No,023 342 2325,023 347 5024,1 Brand Sree Rawsonville,E 19.30903; S -33.68484
Free Sae,Magisrae Cour,Reddersburg,Yes,Yes,No,No,051 553 0032,051 553 0484,3 Norval Sree Reddersburg 9904,E 26.17311; S -29.65197
Free Sae,Magisrae Cour,Reiz,Yes,Yes,No,No,058 863 2778,058 863 2779,40 Church Sree Reiz 9810,E 28.43131; S -27.79924
Norh Wes,Periodical Cour,Reivilo,No,No,No,No,053 928 4209,053 927 2309,15 General Keevy Sree Reivilo,-26.16245; 24.40736
KwaZulu-Naal,Branch Cour,Richards Bay,No,Yes (Sessions Only),No,No,035 789 0183,035 789 8532,No 2 Pasea Parade Richard’s Bay,E 32.048; S -28.7383
KwaZulu-Naal,Magisrae Cour,Richmond [KZN,Yes,Yes,No,No,033 212 2114/2115,033 212 2790,36 Chilley Sree Richmond 3780,E 30.26988; S -29.87269
Norhern Cape,Magisrae Cour,Richmond [NC,Yes,Yes,No,No,053 693 0012,053 693 0205,288 Marke Sree Richmond 7090,-31.4145; 23.94448
Wesern Cape,Periodical Cour,Riebeeck Wes,No,No,No,No,022 482 1121/ 1166/ 1141,022 482 4307,c/o Hof & Sending Sree Riebeeck Wes,E 18.8727; S -33.35098
Norhern Cape,Periodical Cour,Riefonein,No,No,No,No,054 337 5300,054 332 1495,64 Loubos Weg Riefonein,-26.74292; 20.02937
Wesern Cape,Magisrae Cour,Riversdale,Yes,Yes,No,No,028 713 2428/ 1236/ 4560/ 3778,028 713 3797,13 Michell Sree Riversdale 6670,E 21.25991; S -34.09167
Wesern Cape,Periodical Cour,Rivier-sonder-end,No,No,No,No,028 212 1076,028 214 1630,Main road Riviersonderend,E 19.92012; S -34.15061
Wesern Cape,Magisrae Cour,Roberson,Yes,Yes,No,No,023 626 3023/ 24,023 626 4885,54 Kerk Sree Roberson 6705,E 19.88272; S -33.8042
Limpopo,Periodical Cour,Roedan,No,No,No,No,014 743 2217/8,014 743 0367,SAPS Roedan Main Sree Roedan 0580,-24.59619; 29.08159
Gaueng,Magisrae Cour,Roodepoor,Yes,Yes,No,No,011 766 1006/1042/1043/ 760 1146,011 766 1056/ 086 507 5193,54 Meyer Sree Roodepoor 1724,-26.15784; 27.86615
Limpopo,Periodical Cour,Rooiberg,No,No,No,No,014 736 2231,014 736 5210/0865075648,43 Maroela Sree Rooiberg,-24.77884; 27.73082
Limpopo,Periodical Cour,Roossenekal,No,No,No,No,013 262 2033/34,013 262 3000,010 Senekal Sree  Rossenekal 1066,-25.20155; 29.92623
Free Sae,Periodical Cour,Rosendal,No,No,No,No,051 933 2201,051 933 4479,cnr - Kriek and Keyer Sree,E 27.93019; S -28.50395
Free Sae,Magisrae Cour,Rouxville,Yes,Yes,No,No,051 663 0291,051 663 0536,10 Murray Sree Rouxville 9958,E 26.83474; S -30.41597
Limpopo,Branch Cour,Rus de Winer,No,No,No,No,014 736 2231,014 736 5210/0865075648,Perseel 180JR Rus de Winer,-25.20318; 28.60789
Norh Wes,Magisrae Cour,Rusenburg,Yes,Yes,No,Yes,014 597 9400 / 078 244 9609,014 592 0191,13 Nelson Mandela Drive Rusenburg 0300,-26.71575; 27.09321
Mpumalanga,Magisrae Cour,Sabie,Yes,Yes,No,No,013 764 1205,013 764 2795,c/o Main Sree & 7h Avenue Sabie 1260,-25.09909; 30.78008
Norh Wes,Periodical Cour,Sannieshof,No,No,No,No,053 948 9300,053 948 0904,23 General Delarey Sree Delareyville 2770,-27.57047; 24.18338
Limpopo,Branch Cour,Saselamani,No,Yes (Sessions Only),No,No,015 851 0022/3/4,015 851 1357,Near SAPS Sasalamani,-22.83127; 30.85721
Free Sae,Magisrae Cour,Sasolburg,Yes,Yes,No,No,016 976 0640,016 970 2417 /976 0640,Cnr Bain & Fichard Sree Sasolburg 1947,E 27.82955; S -26.81732
KwaZulu-Naal,Periodical Cour,Sawoi,No,No,No,No,See Scoburgh,No,R612 Ixopo Main Road,E 30.49062; S -30.27388
Limpopo,Magisrae Cour,Schoonoord,Yes,Yes,No,Yes,013 260 1001/02,013 260 1049,Nex o Police Saion Sekhukhune 1124,-24.75125; 30.01526
Norh Wes,Magisrae Cour,Schweizer-Reneke,Yes,Yes,Yes,No,053 963 1203,053 963 1506,1 Boha Sree Schweizer-Reneke 2780,-25.66563; 27.23732
KwaZulu-Naal,Magisrae Cour,Scoburgh,Yes,Yes,Yes,No,039 978 9400,039 978 3258,c/o Airh & Sco Sree Scoburgh 4180,E 30.75625; S -30.28747
Gaueng,Deached Cour,Sebokeng,No,Yes,No,Yes,016 988 1320,016 988 0071,Plo 18 Moshoeshoe Sree Sebokeng 1983,-26.60995; 27.84698
Mpumalanga,Branch Cour,Secunda,No,Yes,Yes,No,017 631 1187/ 634 7621,017 632 2835/ 634 8655,Lourens Muller Sr Secunda,-26.5046; 29.18619
Free Sae,Magisrae Cour,Selosesha,Yes,Yes,No,No,051 873 2242,051 873 3520,Opposie Selosesha Police Saion Thaba Nchu 9870,No
Limpopo,Deached Cour,Sempupuru,Yes,Yes,No,No,013 980 0061,013 980 0484,1 Cour Sree Elandsdoorn Dennilon 1030,-25.28637; 29.21582
Free Sae,Magisrae Cour,Senekal,Yes,Yes,No,No,058 481 2129,058 481 3868,Landdros Avenue Senekal 9600,E 27.62293; S -28.32393
Limpopo,Magisrae Cour,Senwabarwana,Yes,Yes,No,No,015 505 3151/ 52,015 505 3153,Main Road Nex o Bochum Plaza Bochum 0790,-23.28766; 29.14064
Limpopo,Periodical Cour,Senwamokgope,No,No,No,No,See Morebeng,See Morebeng,Opposie Greaer Leaba Municipaliy Offices near SAPS Sekgosese,-23.41238; 30.15034
Limpopo,Magisrae Cour,Seshego,Yes,Yes,No,No,015 223 5112,015 223 5101,4003 Nelson Mandela Drive Zone 7 Seshego 0742,-23.85451; 29.38157
Norh Wes,Periodical Cour,Selagole,No,No,No,No,053 928 4209,053 927 2309,Selagole Ploice Saion Selagole,-26.687483; 25.457776
Easern Cape,Magisrae Cour,Seymour,Yes,Yes,No,No,040 863 1080,040 863 1089,75 Curzon Sree Seymour 5750,E 26.77084; S -32.55314
Mpumalanga,Periodical Cour,Sheepmoor,No,No,No,No,017 846 9265,017 846 9265 el/fax,Sheepmoor SAPS,-26.71503; 30.29457
Wesern Cape,Magisrae Cour,Simon’s Town,Yes,Yes,No,No,021 786 1561,021 786 3429,133 S Georges Sree Simon’s Town 7995,E 18.43617; S -34.19345
Mpumalanga,Magisrae Cour,Siyabuswa,Yes,Yes,No,Yes,013 973 1311,013 973 1375,3B Rehabile Sree Siyabuswa 0472,-25.10835; 29.03993
Mpumalanga,Periodical Cour,Skukuza,No,No,No,No,013 751 1147/8,013 750 0426,SAPS Skukuza,-24.99534; 31.59013
Free Sae,Magisrae Cour,Smihfield,Yes,Yes,No,No,051 683 0192,051 683 0401,General Herzog Sree Smihfield 9966,E 26.53097; S -30.21423
Easern Cape,Magisrae Cour,Somerse Eas,Yes,Yes,No,No,042 243 1107,042 243 0667,1 Worceser Sree Somerse-Eas 5850,E 25.59057; S -32.71861
Wesern Cape,Magisrae Cour,Somerse Wes,Yes,Yes,No,No,021 850 7420,021 852 7299,33 Caledon Sree Somerse Wes 7130,E 18.85191; S -34.08335
Gaueng,Deached Cour,Soshanguve,Yes,Yes,No,Yes,012 730 1000,012 799 8921,Soshanguve Highway Block H Soshanguve 2096,-25.52939; 28.11372
Free Sae,Periodical Cour,Soupan,No,No,No,No,051 821 2211,051 821 1602,Lang Sree,E 26.06093; S -28.7214
Gaueng,Deached Cour,Soweo,No,Yes (Sessions Only),Yes,Yes,011 980 8130,011 980 5141,Cnr Ndaba & Kunene drive Proea Norhxa0 Soweo 1818,-26.27433; 27.83674
Norhern Cape,Magisrae Cour,Springbok,Yes,Yes,No,No,027 712 1215,027 712 1860,1 Hof Sree Springbok 8240,-29.66583; 17.88252
Free Sae,Periodical Cour,Springfonein,No,No,No,No,051 783 0028,051 783 0301,1 Pieerse Sree Springfonein 9917,E 25.70457; S -30.26422
Gaueng,Magisrae Cour,Springs,Yes,Yes,No,Yes,011 811 2180-4,011 811 2296,Welgedach Road (R555) Springs 1559,-26.245373; 28.441991
Easern Cape,Branch Cour,S Albans Prison,No,No,No,No,See Por Elizabeh,No,Old Cape Road,E 25.34376; S -33.90729
Mpumalanga,Magisrae Cour,Sanderon,Yes,Yes,No,No,017 712 2043,017 712 3253,13 Beyers Naude S  Sanderon 2430,-26.95318; 29.24297
Norh Wes,Periodical Cour,Sella,Yes,No,No,No,053 928 4209,053 927 2309,179 Sella Sree Sella,-27.20153; 25.301002
Wesern Cape,Magisrae Cour,Sellenbosch,Yes,Yes,No,No,021 887 0114,021 883 9687,Alexander Sree Sellenbosch 7600,E 18.85748; S -33.93658
Easern Cape,Magisrae Cour,Serksprui,Yes,Yes,No,No,051 611 0012,051 611 0034,81 Herschel Road Serksprui 9762,E 27.37058; S -30.52746
Easern Cape,Magisrae Cour,Serksroom,Yes,Yes,No,No,045 966 0007,045 966 0362,8 Hopley Sree  Serksroom 5425,E 26.55152; S -31.55569
Easern Cape,Magisrae Cour,Seynsburg,Yes,Yes,No,No,048 884 0048,048 884 0350,c/o Hendrik Pogieer & Kruger Sree Seynsburg 5920,E 25.82558; S -31.29606
Free Sae,Periodical Cour,Seynsrus,No,Yes,No,No,056 471 0013,056 471 0051,15 Van Riebeeck Sree Seynsrus 9515,E 27.56362; S -27.95321
Easern Cape,Magisrae Cour,Seylerville,Yes,Yes,No,No,049 835 0011,049 835 0011 Tel/Fax 086 628 7096,35 Sarel Cilliers Sree Seylerville 6250,E 24.34444; S -33.32845
Norh Wes,Deached Cour,Silfonein,No,Yes,No,No,018 484 1836,018 462 4275,6 Cenlivres Ave Silfonein 2550,-26.27179; 25.11399
Wesern Cape,Periodical Cour,Sill Bay Srand,No,No,No,No,028 713 2428/ 1236/ 4560/ 3778,028 713 3797,Main Road Wes Silbaai,E 21.41161; S -34.37777
Easern Cape,Periodical Cour,Sorms River,No,No,No,No,See Humansdorp,No,Darneil Sree,E 23.8892; S -33.97425
Wesern Cape,Magisrae Cour,Srand,Yes,Yes,No,No,021 854 7217,021 854 7014,1 Gordons Bay Road Srand 7140,E 18.849; S -34.1176
Norhern Cape,Periodical Cour,Srydenburg,No,Yes (Sessions Only),No,No,053 203 0000,053 203 0453,40 Kerk Sree Srydenburg,-29.94297; 23.67675
Easern Cape,Magisrae Cour,Suerheim,Yes,Yes,No,No,043 683 4600,043 683 3229,23 Dragoon Sree Suerheim 4930,E 27.4271; S -32.57119
Mpumalanga,Periodical Cour,Sundra,No,No,No,No,013 665 2081/ 2082/ 2042,013 665 5778,37 Wibank Sree SAPS Sundra,-26.18638; 28.55025
Norhern Cape,Magisrae Cour,Suherland,Yes,Yes,No,No,023 571 1003,023 571 1316,21 Pie Reief Sree Suherland 6920,-32.39567; 20.66077
Norh Wes,Deached Cour,Swarruggens,Yes,Yes,No,No,014 544 0016,014 544 0660/0250,13 Jan Van Riebeeck Sree Swarruggens 2835,-26.54952; 24.86231
Wesern Cape,Magisrae Cour,Swellendam,Yes,Yes,No,No,028 514 1109/ 1160/ 1223,028 514 2342,88 Voorrek Sree Swellendam 6740,E 20.44389; S -34.0209
Easern Cape,Magisrae Cour,Tabankulu,Yes,Yes,No,No,039 258 0050,039 258 0001,81 Main Sree Tabankulu 5130,E 29.3028; S -30.96151
Easern Cape,Magisrae Cour,Tarkasad,Yes,Yes,No,No,045 846 0017,045 846 0853,Van Reenen Sree Tarkasad 5370,E 26.26099; S -32.01083
Norh Wes,Magisrae Cour,Taung,Yes,Yes,Yes,Yes,053 994 1828/9,053 994 3699,Hospial Road Taung 8584,-27.54393; 24.77929
Norh Wes,Magisrae Cour,Temba,Yes,Yes,Yes,Yes,012 717 2179/ 3364/ 3527/ 3528,012 717 5366,Sand Nr 435 Shopping Complex Temba 0407,-25.377309; 28.259469
Gaueng,Deached Cour,Tembisa,Yes,Yes,Yes,No,011 281 0388/82,011 924 3439,244 Gqagqa Secion Tembisa 1632,-26.008024; 28.220897
Mpumalanga,Periodical Cour,Thaba-Kgwali,No,No,No,No,017 779 0150,017 779 0643,Old Mine Hospial Building SAPS Groovlei,-26.79878; 28.50954
Limpopo,Magisrae Cour,Thabazimbi,Yes,Yes,No,No,014 777 1543,014 772xa0 2523,10 Fourh Avenue Thabazimbi 0380,-24.59707; 27.40734
Wesern Cape,Branch Cour,Thembalehu,No,Yes (Sessions Only),Yes,No,044 801 0100,044 880 2029,Sandkraal  Road Thembalehu,E 22.48521; S -34.00322
Free Sae,Magisrae Cour,Theunissen,Yes,Yes,No,No,057 733 0007,057 733 2494,57 Le Roux Sree Theunissen 9410,E 26.71188; S -28.39995
Limpopo,Magisrae Cour,Thohoyandou,Yes,Yes,No,Yes,015 962 5550,015 962 5566,Mphephu Drive Thohoyandou 0950,-22.97281; 30.45694
Mpumalanga,Magisrae Cour,Thulamahashe,Yes,Yes,Yes,Yes,013 773 0431/0335,013 773 0430,Main Sree Nex o Police Saion & Home Affairs Thulamahashe 1365,-24.7255; 31.20421
Limpopo,Periodical Cour,Tin Mines,No,No,No,No,015 491 2158,015 491 8111,518 Marken Road Mapela,-24.03652; 28.77492
Easern Cape,Periodical Cour,Tina Falls,No,No,No,No,See Qumbu,No,Tina Falls,E 29.0218; S -31.22116
Limpopo,Branch Cour,Tiyani,Yes,Yes,No,No,015 873 2797,015 873 2753,Main Road Nex o Police Saion and Pos Office Tiyani,-23.30612; 30.29706
Norh Wes,Deached Cour,Tlhabane,Yes,Yes,No,No,014 565 4206/ 7/8,014 565 5813,3582 Mosasi Sree Tlhabane 0309,-26.9779; 26.66973
Limpopo,Periodical Cour,Tolwe,No,No,No,No,015 491 2158,015 491 8111,Rooihoge Farm Nex To Huners Lodge 0690,-22.98589; 28.57501
Limpopo,Periodical Cour,Tom Burke,No,No,No,No,014 769 0063/ 0165/ 0167,014 769 0165 Tel/Fax,SAPS Tomburke R572 Road Van Wyk Farm 0621,-23.06948; 27.9986
Mpumalanga,Magisrae Cour,Tonga,Yes,Yes,No,Yes,013 780 3312 /3153,013 780 0747,Tonga Road Nkomazi 1341,-25.68782; 31.78547
Wesern Cape,Periodical Cour,Touws River,No,No,No,No,023 342 2325,023 347 5024,15 Douglas Sr Touwsrivier,E 20.03149; S -33.33903
Free Sae,Magisrae Cour,Trompsburg,Yes,Yes,No,No,051 713 0003,051 713 0269,21 Kerk Sree Trompsburg 9913,E 25.78108; S -30.03393
Gaueng,Deached Cour,Tsakane,No,Yes,No,No,011 739 1600,-,32019 Modjadji Sree Tsakane 1550,-26.3462; 28.3764
Free Sae,Deached Cour,Tseki,No,Yes,No,No,058 713 1524 / 1525,058 713 2266,Tseki Shopping Complex Poelong Village nex o Police Saion Wisieshoekxa0 9870,E 28.77217; S -28.58721
Limpopo,Periodical Cour,Tshaulu,No,No,No,No,015 962 5550,015 962 5566,SAPS  Tshaulu Tshaulu  Tshilaphala Tshaulu Village,-22.80376; 30.74825
Free Sae,Deached Cour,Tsheseng,No,Yes,No,No,058 721 0160,058 721 0153,16 Moa Sree Tsheseng Village Wisieshoek 9868,E 28.87027; S -28.63458
Norh Wes,Periodical Cour,Tshidilamolomo,No,No,No,No,018 387 8000,018 384 3594,Tshidilamolomo Police Saion Tshidilamolomo,-25.82623; 24.67332
Limpopo,Periodical Cour,Tshikombani,No,No,No,No,015  962 5556,015 962 5566,Tshikombani Tribal Council,-22.91142; 30.21735
Limpopo,Magisrae Cour,Tshilwavhusiku,Yes,Yes,No,No,015 571 5277/ 5049/ 505 0563,015 571 5490,Nex o Police Saion Tshilwavhusiku 0938,-23.09656; 29.74109
Limpopo,Magisrae Cour,Tshiale,Yes,Yes,No,No,015 975 1715/17,015 975 1716,Mulima Sekgosese Road Mulima 0817,-23.35858; 29.98854
Norhern Cape,Periodical Cour,Tsineng,No,No,No,No,053 773 1868/ 1869/ 1307/ 1550,053 773 1502/1156,Tsineng,-27.08491; 23.07599
Easern Cape,Magisrae Cour,Tsolo,Yes,Yes,Yes,No,047 542 0002,047 542 0067,Corner Main 7 & Thurson Srees Tsolo 5170,E 28.75651; S -31.31137
Easern Cape,Magisrae Cour,Tsomo,Yes,Yes,No,No,047 488 0003,047 488 0016,Main Sree  Tsomo 5400,E 27.82072; S -32.03808
Limpopo,Periodical Cour,Tuinplaas,No,No,No,No,014 717 5316,014 717 5369,Near SAPS Tuinplaas,-24.90221; 28.73624
Wesern Cape,Magisrae Cour,Tulbagh,Yes,Yes,No,No,023 230 0006,023 230 0099,c/o Pie Reief & Waerkan Sree Tulbagh 6820,E 19.14045; S -33.28856
KwaZulu-Naal,Branch Cour,Turon,No,Yes (Sessions Only),No,No,039 972 1720,039 972 1736,Emzumbe Locaion Hibberdenexa0 4220,No
Free Sae,Periodical Cour,Tweeling,No,No,No,No,058 813 1000,058 813 1638,5h Agse Sree,E 28.51574; S -27.55465
Free Sae,Periodical Cour,Tweesprui,No,No,No,No,051 973 0017,051 973 0518,12 Eaon Road,E 27.02474; S -29.18637
Limpopo,Magisrae Cour,Tzaneen,Yes,Yes,No,Yes,015 307 3770 / 307 7061,015 307 4163,18 Morgan Sree Tzaneen 0850,-23.82821; 30.16075
KwaZulu-Naal,Magisrae Cour,Ubombo,Yes,Yes,No,No,035 595 1002,035 595 1165,Lo 15 Main Road Ubombo 3970,E 32.08435; S -27.56635
Easern Cape,Periodical Cour,Ugie,No,No,No,No,See Maclear or 045 933 1357,n/a,c/o Umnga Sree & 2 van Riebeeck Sree,E 28.23507; S -31.1995
Easern Cape,Magisrae Cour,Uienhage,Yes,Yes,No,No,041 992 5393,041 992 2907,6 Durban Sree  Uienhage 6230,E 25.40009; S -33.77139
KwaZulu-Naal,Magisrae Cour,Umbumbulu,Yes,Yes,Yes,No,031 915 0100/01/02/03,031 915 0106,Main Road Umbumbulu 4105,E 30.70279; S -29.98549
KwaZulu-Naal,Periodical Cour,Umhlali,No,No,No,No,032 551 1201,032 552 1656,Main Road Umhlali,E 31.21958; S -29.46886
KwaZulu-Naal,Magisrae Cour,Umzimkulu,Yes,Yes,No,No,039 259 0841,039 259 0184,Hospial Sree Umzimkulu 3297,E 29.94012; S -30.25849
KwaZulu-Naal,Periodical Cour,Umzino,No,Yes (Sessions Only),No,No,039 978 9400,039 978 3258,102 Cour Road Umzino,E 30.67261; S -30.30875
Wesern Cape,Magisrae Cour,Uniondale,Yes,Yes,No,No,044 752 1002,044 752 1237,51 Voorrekker Sree Uniondale 6460,E 23.1258; S -33.65713
Norhern Cape,Magisrae Cour,Upingon,Yes,Yes,Yes,No,054 337 5300,054 332 1495,1 Weideman Sree Upingon 8800,-28.46085; 21.23732
KwaZulu-Naal,Magisrae Cour,Urech,Yes,Yes,No,No,034 331 3184,034 331 3184 Tel/Fax,51 Voor Sree Urech 2980,E 30.31998; S -27.65597
Mpumalanga,Magisrae Cour,Vaalbank (eLibangeni),Yes,Yes,No,No,013 976 7409/10,013 976 7435,Farm 01 Vaalbank 0449,-25.15999; 28.85028
Limpopo,Periodical Cour,Vaalwaer,No,No,No,No,014 717 5316,014 717 5369,Near SAPS Vaalwaer,-24.29323; 28.11393
Mpumalanga,Periodical Cour,Val,No,No,No,No,017 712 2043,017 712 3253,06 Smih Sree SAPS building,-26.79825; 28.94027
Norhern Cape,Periodical Cour,Van Wyksvlei,No,No,No,No,053 382 3001,053 382 3725,Hoof Sree Vanwyksvlei,-26.8798; 22.052
Norhern Cape,Periodical Cour,Van Zylsrus,No,No,No,No,053 712 1081,053 712 2021,n/a,-30.35073; 21.82448
Gaueng,Magisrae Cour,Vanderbijlpark,Yes,Yes,No,No,016 933 4351,016 933 3377,Cnr General Herzog & F W Beyers Sree Vanderbijlpark 1911,-26.70052; 27.83388
Wesern Cape,Magisrae Cour,Vanrhynsdorp,Yes,Yes,No,No,027 219 1002,027 219 1563,2 Church Sree Vanrhynsdorp 8170,E 18.73701; S -31.60797
Free Sae,Magisrae Cour,Venersburg,Yes,Yes,No,No,057 651 4041,057 651 5047 / 0866332308,2 Voorrekker Sree Venersburgxa0 9450,E 27.13992; S -28.08725
Norh Wes,Magisrae Cour,Venersdorp,Yes,Yes,No,No,018 264 2036/7,018 264 2404,31 Gey Sree Venersdorp 2710,-26.31698; 26.82196
Easern Cape,Magisrae Cour,Venersad,Yes,Yes,No,No,051 654 0007,051 654 0147,Tennan Sree  Venersad 9798,E 25.79877; S -30.77674
Gaueng,Deached Cour,Vereeniging,Yes,Yes,No,Yes,016 422 0071-4,016 422 0604,Cnr Leslie & Beaconsfield Ave Vereeniging 1939,-26.67625; 27.92759
Mpumalanga,Periodical Cour,Verena,No,No,No,No,013 986 0131/2,013 986 0598,Sand Number 847 Verena A,-25.48404; 29.025
Free Sae,Periodical Cour,Verkeerdevlei,No,No,No,No,051 821 2211,051 821 1602,1 Handel Sree,E 26.77873; S -28.8321
KwaZulu-Naal,Magisrae Cour,Verulam,Yes,Yes,No,No,032 439 1711,032 533 9946,52 Moss Sree Verulam 4340,E 31.0489; S -29.64211
Norhern Cape,Magisrae Cour,Vicoria Wes,Yes,Yes,No,No,053 621 0007,053 621 0866,1 Vicoria Sree Vicoria Wes 7070,-31.40419; 23.11092
Free Sae,Periodical Cour,Vierfonein,No,No,No,No,056 343 2113,056 343 1392,Vierfonien SAPS,E 26.75157; S -27.08029
Free Sae,Magisrae Cour,Viljoenskroon,Yes,Yes,No,No,056 343 2113,056 343 1392,21 Engelbrech Sree Viljoenskroon 9520,E 26.94482; S -27.20885
Limpopo,Periodical Cour,Villa Nora,No,No,No,No,014 769 0063/ 0165/ 0167,014 769 0165 Tel/Fax,R518 Villa Nora,-23.52816; 28.1257
Free Sae,Magisrae Cour,Villiers,Yes,Yes,No,No,058 821 0018,058 821 0942,Pearson Circle Villiers 9840,E 28.59988; S -27.02615
Wesern Cape,Periodical Cour,Villiersdorp,No,No,No,No,028 212 1076,028 214 1630,3 Buiekan Sree Villiersdorp,E 19.28122; S -33.99262
Norhern Cape,Periodical Cour,Vioolsdrif,No,No,No,No,027 712 1215,027 712 1860,n/a,-28.76895; 17.62365
Free Sae,Magisrae Cour,Virginia,Yes,Yes,No,No,057 221 2900 /05,057 212 3167 /8,20 Virginia Gardens Virginia 9430,E 26.86555; S -28.10737
Mpumalanga,Magisrae Cour,Volksrus,Yes,Yes,No,No,017 735 2303,017 735 2295,56 Louis Trichard Sree Volksrus 2470,-27.36904; 29.88408
Norhern Cape,Periodical Cour,Vosburg,No,Yes (Sessions Only),No,No,053 621 0007,053 621 0866,1 Mark Sree Vosburg,-30.57347; 22.8815
Gaueng,Branch Cour,Vosloorus,No,No,No,No,011 906 7300,011 906 7301,2 MC Boha Drive Vosloorus 1475,-26.3426; 28.21193
Mpumalanga,Branch Cour,Vosman,No,No,No,No,013 698 0611,013 656 5023,6668 Mahew Phosa drive SAPS Vosman,-25.86806; 29.12686
Free Sae,Magisrae Cour,Vrede,Yes,Yes,No,No,058 913 1024,058 913 2747,46 Kuhn Sree Vrede 9835,E 29.16382; S -27.42936
Free Sae,Magisrae Cour,Vredefor,Yes,Yes,No,No,056 931 0001,056 931 0161,23 Oranje Sree Vredefor 9595,E 27.36639; S -27.00641
Wesern Cape,Magisrae Cour,Vredenburg,Yes,Yes,No,No,022 713 5274,022 713 1520,17 Pie Reief Sree  Vredenburg 7380,E 17.9872; S -32.90525
Wesern Cape,Magisrae Cour,Vredendal,Yes,Yes,No,No,027 213 2010,027 213 4823,24 Voorrekker Sree Vredendal 8160,E 18.50698; S -31.66455
Norh Wes,Magisrae Cour,Vryburg,Yes,Yes,No,Yes,053 928 4209,053 927 2309,69 Marke Sree (c/o Marke & De Kock) Vryburg 8601,-26.95846; 24.72687
KwaZulu-Naal,Magisrae Cour,Vryheid,Yes,Yes,No,No,034 981 4911/4912/9809,034 980 9203,212 Church Sree Vryheid 3100,E 30.79539; S -27.76772
Limpopo,Magisrae Cour,Vuwani,Yes,Yes,No,No,015 961 5402,015 961 5389,Nex o Vuwanixa0Police Saion,-23.13014; 30.41998
Mpumalanga,Magisrae Cour,Wakkersroom,Yes,Yes,No,No,017 730 0156,017 730 0147,Engelbrech Sree Wakkersroom 2480,-27.35426; 30.1444
Free Sae,Periodical Cour,Warden,No,Yes,No,No,058 643 0014,058 643 0860 / 0027,27B School Sree Warden 9890,E 28.96369; S -27.85779
Norhern Cape,Magisrae Cour,Warrenon,Yes,Yes,No,No,053 497 9200,053 497 5200,9 Sruwig Sree Warrenon 8530,-28.11497; 24.84852
